,State Name,District,Rural/Urban_rur,Households_Rural,Households_Rural_Livable,Households_Rural_Dilapidated,Households_Rural_Toilet_Premise,Rural/Urban_urb,Households_Urban,Households_Urban_Livable,Households_Urban_Dilapidated,Households_Urban_Toilet_Premise
0,Jammu & Kashmir,Kupwara,Rural,158438.0,92052.478,13150.354000000001,77476.182,Urban,23226.0,11496.869999999999,1114.848,16304.652
1,Jammu & Kashmir,Badgam,Rural,160649.0,74380.487,6265.311,133820.617,Urban,27189.999999999996,9190.22,706.9399999999999,24579.76
2,Laddakh,Leh(Ladakh),Rural,36920.0,19013.8,775.32,32526.519999999997,Urban,17474.0,9540.804,192.21400000000003,16740.092
3,Laddakh,Kargil,Rural,40370.0,29591.21,1412.95,39078.159999999996,Urban,7773.999999999999,5348.512,93.288,7579.65
4,Jammu & Kashmir,Punch,Rural,132139.0,78622.705,3171.3360000000002,18103.043,Urban,15269.0,4168.437,122.152,11497.556999999999
5,Jammu & Kashmir,Rajouri,Rural,196070.0,103721.03,5293.89,19999.14,Urban,17508.0,3256.4880000000003,297.636,14969.340000000002
6,Jammu & Kashmir,Kathua,Rural,181374.0,66564.258,6348.09,25755.108,Urban,33473.0,9037.710000000001,1037.663,22460.382999999998
7,Jammu & Kashmir,Baramula,Rural,210542.99999999997,97060.32299999999,11158.778999999999,156433.449,Urban,48932.0,16636.88,2446.6,45262.1
8,Jammu & Kashmir,Bandipore,Rural,80521.0,43239.777,5958.554000000001,56445.221,Urban,17555.0,5442.05,754.865,16554.365
9,Jammu & Kashmir,Srinagar,Rural,4518.0,1734.912,284.634,4007.466,Urban,257721.0,59791.272,5669.862000000001,252824.30099999998
10,Jammu & Kashmir,Ganderbal,Rural,63788.0,30235.512,6059.86,44332.659999999996,Urban,13558.000000000002,2982.76,610.11,12378.454000000002
11,Jammu & Kashmir,Pulwama,Rural,147520.0,63433.6,6785.92,92495.04000000001,Urban,21703.0,9202.072,651.09,19771.432999999997
12,Jammu & Kashmir,Shupiyan,Rural,75616.0,25104.512000000002,4461.344,44613.439999999995,Urban,5272.0,1813.568,173.976,4997.856
13,Jammu & Kashmir,Anantnag,Rural,207067.0,89660.011,10560.417,105190.036,Urban,70666.0,20139.809999999998,2190.646,53352.829999999994
14,Jammu & Kashmir,Kulgam,Rural,95952.0,47016.479999999996,4509.744,40011.984000000004,Urban,25178.0,10574.76,1057.476,14729.13
15,Jammu & Kashmir,Doda,Rural,122267.0,73360.20000000001,1956.2720000000002,29344.08,Urban,11350.0,2689.95,329.15,10600.900000000001
16,Jammu & Kashmir,Ramban,Rural,84281.0,43404.715,1769.901,15002.018,Urban,5341.0,1030.8129999999999,128.184,4417.007
17,Jammu & Kashmir,Kishtwar,Rural,72378.0,37636.56,2460.852,14475.599999999999,Urban,5993.0,809.055,41.951,5597.462
18,Jammu & Kashmir,Udhampur,Rural,148664.0,66452.808,2973.28,11001.136,Urban,34696.0,5898.32,624.528,26056.695999999996
19,Jammu & Kashmir,Reasi,Rural,95572.0,52469.028,1433.58,8601.48,Urban,12261.0,4843.095,134.871,9661.668
